REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
NOROCCIDENTE;MEDELLIN;183;PALACE;1/01/2018;3,5;1;1;46;;39;2;1;;17;4;16;1;127;2;1;MEDIANA;0;0;2018;Trim.1;36,3
NOROCCIDENTE;MEDELLIN;181;SAN FERNANDO PLAZA;1/01/2018;2,5;1;;21;1;7;4;;25;3;3;5;;69;1;1;PEQUEÑA;1;0;2018;Trim.1;27,6
NOROCCIDENTE;MEDELLIN;181;SAN LUCAS;1/01/2018;2,5;1;;12;;12;8;1;;6;2;5;;46;1;1;PEQUEÑA;1;0;2018;Trim.1;18,4
NOROCCIDENTE;MEDELLIN;212;SANTA TERESITA;1/01/2018;2,5;1;2;28;;21;6;;;16;1;18;;92;1;1;MEDIANA;1;0;2018;Trim.1;36,8
SURORIENTE;ORIENTAL;610;ARAUCA;1/01/2018;5,5;1;42;15;;41;10;;;34;4;88;;234;3;2;GRANDE;0;0;2018;Trim.1;42,5
SURORIENTE;ORIENTAL;490;BARBOSA;1/01/2018;3,5;1;16;14;;14;2;;3;5;7;13;;74;1;2;MEDIANA;1;0;2018;Trim.1;21,1
SURORIENTE;ORIENTAL;500;BARRANCABERMEJA;1/01/2018;5,5;1;2;61;;64;6;;;36;6;21;2;198;3;2;GRANDE;0;0;2018;Trim.1;36
SURORIENTE;ORIENTAL;480;BUCARAMANGA;1/01/2018;11,5;1;18;189;;135;15;2;2;93;24;63;;541;7;4;MUY GRANDE;1;0;2018;Trim.1;47
SURORIENTE;ORIENTAL;484;CABECERA DEL LLANO;1/01/2018;5,5;1;21;158;;46;10;1;3;28;18;33;;318;3;2;GRANDE;1;0;2018;Trim.1;57,8
SURORIENTE;ORIENTAL;450;CUCUTA;1/01/2018;8,5;1;4;96;;99;7;;1;48;15;126;;396;5;3;MUY GRANDE;1;0;2018;Trim.1;46,6
SURORIENTE;ORIENTAL;494;FLORIDA BLANCA;1/01/2018;3,5;1;1;84;1;51;5;;;37;8;21;;208;2;1;MEDIANA;0;0;2018;Trim.1;59,4
SURORIENTE;ORIENTAL;481;GIRON;1/01/2018;3,5;1;4;84;;26;11;1;3;14;5;21;;169;1;2;GRANDE;0;0;2018;Trim.1;48,3
SURORIENTE;ORIENTAL;700;MALAGA;1/01/2018;3,5;1;5;18;1;33;14;1;2;22;16;16;1;129;2;1;PEQUEÑA;0;1;2018;Trim.1;36,9
SURORIENTE;ORIENTAL;720;PAMPLONA;1/01/2018;4,5;1;11;14;;50;10;2;1;22;19;18;;147;2;2;GRANDE;1;0;2018;Trim.1;32,7
