REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
BOGOTÁ Y PYME;BOGOTÁ NORTE;11;ANTIGUO COUNTRY;feb-18;2,5;1;;85;;4;;;;1;2;101;1;194;1;1;PEQUEÑA;1;0;2018;Trim.1;77,6
BOGOTÁ Y PYME;BOGOTÁ CENTRO;66;AVENIDA CHILE;feb-18;4,5;1;;67;;36;8;3;9;17;9;28;;177;2;2;GRANDE;0;0;2018;Trim.1;39,3
BOGOTÁ Y PYME;BOGOTÁ CENTRO;48;CALLE 64;feb-18;2;0;1;17;;8;8;5;;0;1;;;40;1;1;PEQUEÑA;1;0;2018;Trim.1;20
BOGOTÁ Y PYME;BOGOTÁ NORTE;98;CANTON NORTE;feb-18;2,5;1;2;178;;21;7;4;;7;0;232;1;452;1;1;MEDIANA;0;0;2018;Trim.1;180,8
BOGOTÁ Y PYME;BOGOTÁ NORTE;88;CEDRITOS;feb-18;3,5;1;4;77;;46;9;2;;13;7;77;;235;2;1;GRANDE;0;1;2018;Trim.1;67,1
BOGOTÁ Y PYME;BOGOTÁ CENTRO;48;CHAPINERO;feb-18;6,5;1;;79;;56;5;2;1;11;2;89;;245;3;3;PEQUEÑA;1;0;2018;Trim.1;37,7
BOGOTÁ Y PYME;BOGOTÁ NORTE;63;CHICO - PARQUE 93;feb-18;3,5;1;2;17;;7;7;1;81;1;3;29;2;150;1;2;PEQUEÑA;0;0;2018;Trim.1;42,9
BOGOTÁ Y PYME;BOGOTÁ NORTE;29;LA CASTELLANA;feb-18;2,5;1;3;41;;23;8;1;2;15;1;86;;180;1;1;MEDIANA;0;0;2018;Trim.1;72
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;65;LA FLORESTA;feb-18;4,5;1;3;38;1;53;6;2;10;19;7;19;;158;2;2;GRANDE;1;0;2018;Trim.1;35,1
BOGOTÁ Y PYME;BOGOTÁ NORTE;44;PLAZA IMPERIAL (SUBA);feb-18;3,5;1;4;116;1;50;7;1;;25;20;33;1;258;2;1;MEDIANA;1;0;2018;Trim.1;73,7
BOGOTÁ Y PYME;BOGOTÁ NORTE;45;SANTA FE;feb-18;3,5;1;6;144;;24;2;;3;11;4;105;;299;2;1;MEDIANA;1;0;2018;Trim.1;85,4
BOGOTÁ Y PYME;BOGOTÁ CENTRO;170;SIETE DE AGOSTO;feb-18;2,5;1;4;27;;22;2;4;1;15;4;12;;91;1;1;PEQUEÑA;0;0;2018;Trim.1;36,4
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;87;TITAN PLAZA;feb-18;3,5;1;4;111;1;49;4;2;1;29;11;21;3;236;2;1;MEDIANA;1;1;2018;Trim.1;67,4
BOGOTÁ Y PYME;BOGOTÁ NORTE;41;TOBERIN;feb-18;3,5;1;5;64;;26;4;;7;5;3;44;;158;1;2;PEQUEÑA;0;0;2018;Trim.1;45,1
BOGOTÁ Y PYME;BOGOTÁ NORTE;39;UNICENTRO;feb-18;4,5;1;2;29;;45;5;1;1;13;3;5;;104;2;2;GRANDE;0;0;2018;Trim.1;23,1
BOGOTÁ Y PYME;BOGOTÁ NORTE;22;USAQUEN;feb-18;3,5;1;2;29;;16;8;1;1;12;5;20;1;95;2;1;MEDIANA;0;0;2018;Trim.1;27,1
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;ALAMOS INDUSTRIAL;feb-18;3,5;1;1;38;;39;4;1;7;19;8;11;;128;2;1;PEQUEÑA;1;0;2018;Trim.1;36,6
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;49;ARRECIFES ;feb-18;3,5;1;3;43;;31;;1;1;9;6;27;;121;2;1;MEDIANA;0;0;2018;Trim.1;34,6
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;80;CAN;feb-18;8,5;1;11;94;1;64;11;6;4;20;6;54;;271;5;3;MUY GRANDE;1;0;2018;Trim.1;31,9
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;12;CIUDAD UNIVERSITARIA;feb-18;2,5;1;1;32;;33;2;1;2;17;2;12;;102;1;1;MEDIANA;0;0;2018;Trim.1;40,8
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;EL DORADO;feb-18;3,5;1;3;29;;18;7;;3;9;1;20;1;91;2;1;PEQUEÑA;1;0;2018;Trim.1;26
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;25;FERIA EXPOSICION;feb-18;4,5;1;19;42;;43;5;;3;36;4;24;;176;2;2;MEDIANA;1;0;2018;Trim.1;39,1
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;38;FONTIBON;feb-18;4,5;1;;38;;43;5;1;6;25;7;31;;156;2;2;MEDIANA;1;0;2018;Trim.1;34,7
BOGOTÁ Y PYME;BOGOTÁ CENTRO;160;GALERIAS;feb-18;4,5;1;14;59;;45;11;1;6;20;7;12;;175;2;2;GRANDE;1;0;2018;Trim.1;38,9
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;53;HAYUELOS;feb-18;2;0;6;41;1;29;7;3;1;0;8;;;96;1;1;Pequeña;0;1;2018;Trim.1;48
